as_of,system,location,employees,inmates
2020-04-06 19:35:32 EST,PRISONS AND ANCILLARY LOCATIONS,Adult Diagnostic and Treatment Center,3,0
2020-04-06 19:35:32 EST,PRISONS AND ANCILLARY LOCATIONS,Bayside State Prison,0,0
2020-04-06 19:35:32 EST,PRISONS AND ANCILLARY LOCATIONS,Central Office Headquarters,0,0
2020-04-06 19:35:32 EST,PRISONS AND ANCILLARY LOCATIONS,Central Reception and Assignment Facility,6,0
2020-04-06 19:35:32 EST,PRISONS AND ANCILLARY LOCATIONS,Correctional State Training Academy,2,0
2020-04-06 19:35:32 EST,PRISONS AND ANCILLARY LOCATIONS,Custody Recruitment Unit,1,0
2020-04-06 19:35:32 EST,PRISONS AND ANCILLARY LOCATIONS,East Jersey State Prison,6,0
2020-04-06 19:35:32 EST,PRISONS AND ANCILLARY LOCATIONS,Edna Mahan Correctional Facility for Women,12,2
2020-04-06 19:35:32 EST,PRISONS AND ANCILLARY LOCATIONS,Garden State Youth Correctional Facility,8,0
2020-04-06 19:35:32 EST,PRISONS AND ANCILLARY LOCATIONS,Mid-State Correctional,0,0
2020-04-06 19:35:32 EST,PRISONS AND ANCILLARY LOCATIONS,Moutainview Youth Correctional Facility,7,0
2020-04-06 19:35:32 EST,PRISONS AND ANCILLARY LOCATIONS,New Jersey State Prison,3,1
2020-04-06 19:35:32 EST,PRISONS AND ANCILLARY LOCATIONS,Northern State Prison,17,2
2020-04-06 19:35:32 EST,PRISONS AND ANCILLARY LOCATIONS,South Woods State Prison,0,0
2020-04-06 19:35:32 EST,PRISONS AND ANCILLARY LOCATIONS,Southern State Correctional Facility,1,0
2020-04-06 19:35:32 EST,PRISONS AND ANCILLARY LOCATIONS,STU,1,0
2020-04-06 19:35:32 EST,PRISONS AND ANCILLARY LOCATIONS,Totals,67,5
2020-04-06 19:35:32 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Bo Robinson Assessment and Treatment,NA,0
2020-04-06 19:35:32 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Clinton House,NA,0
2020-04-06 19:35:32 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Columbus House,NA,0
2020-04-06 19:35:32 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,"CURA, Inc.",NA,0
2020-04-06 19:35:32 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fenwick House,NA,0
2020-04-06 19:35:32 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fletcher House,NA,1
2020-04-06 19:35:32 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Garrett House,NA,0
2020-04-06 19:35:32 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Hope Hall,NA,0
2020-04-06 19:35:32 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,James A. Hemm House,NA,0
2020-04-06 19:35:32 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 1,NA,0
2020-04-06 19:35:32 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 2,NA,0
2020-04-06 19:35:32 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Newark,NA,1
2020-04-06 19:35:32 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,The Harbor House,NA,1
2020-04-06 19:35:32 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Tully House,NA,0
2020-04-06 19:35:32 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Totals,NA,3
