as_of,system,location,employees,inmates,inmate deaths
2020-04-13 19:10:52 EST,PRISONS AND ANCILLARY LOCATIONS,Adult Diagnostic and Treatment Center,6,0,0
2020-04-13 19:10:52 EST,PRISONS AND ANCILLARY LOCATIONS,Bayside State Prison,0,0,0
2020-04-13 19:10:52 EST,PRISONS AND ANCILLARY LOCATIONS,Central Office Headquarters,1,0,0
2020-04-13 19:10:52 EST,PRISONS AND ANCILLARY LOCATIONS,Central Reception and Assignment Facility,16,0,0
2020-04-13 19:10:52 EST,PRISONS AND ANCILLARY LOCATIONS,Correctional Staff Training Academy,2,0,0
2020-04-13 19:10:52 EST,PRISONS AND ANCILLARY LOCATIONS,Custody Recruitment Unit,2,0,0
2020-04-13 19:10:52 EST,PRISONS AND ANCILLARY LOCATIONS,East Jersey State Prison,24,5,1
2020-04-13 19:10:52 EST,PRISONS AND ANCILLARY LOCATIONS,Edna Mahan Correctional Facility for Women,41,4,0
2020-04-13 19:10:52 EST,PRISONS AND ANCILLARY LOCATIONS,Garden State Youth Correctional Facility,10,1,0
2020-04-13 19:10:52 EST,PRISONS AND ANCILLARY LOCATIONS,Mid-State Correctional Facility,17,5,0
2020-04-13 19:10:52 EST,PRISONS AND ANCILLARY LOCATIONS,Mountainview Youth Correctional Facility,10,0,0
2020-04-13 19:10:52 EST,PRISONS AND ANCILLARY LOCATIONS,New Jersey State Prison,11,5,2
2020-04-13 19:10:52 EST,PRISONS AND ANCILLARY LOCATIONS,Northern State Prison,40,8,0
2020-04-13 19:10:52 EST,PRISONS AND ANCILLARY LOCATIONS,South Woods State Prison,1,2,0
2020-04-13 19:10:52 EST,PRISONS AND ANCILLARY LOCATIONS,Southern State Correctional Facility,12,4,0
2020-04-13 19:10:52 EST,PRISONS AND ANCILLARY LOCATIONS,STU,1,2,0
2020-04-13 19:10:52 EST,PRISONS AND ANCILLARY LOCATIONS,Totals,194,36,3
2020-04-13 19:10:52 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Bo Robinson Assessment and Treatment,NA,0,0
2020-04-13 19:10:52 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Clinton House,NA,0,0
2020-04-13 19:10:52 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Columbus House,NA,0,0
2020-04-13 19:10:52 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,"CURA, Inc.",NA,0,0
2020-04-13 19:10:52 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fenwick House,NA,0,0
2020-04-13 19:10:52 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fletcher House,NA,1,0
2020-04-13 19:10:52 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Garrett House,NA,0,0
2020-04-13 19:10:52 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Hope Hall,NA,0,0
2020-04-13 19:10:52 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,James A. Hemm House,NA,0,0
2020-04-13 19:10:52 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 1,NA,0,0
2020-04-13 19:10:52 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 2,NA,0,0
2020-04-13 19:10:52 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Newark,NA,1,0
2020-04-13 19:10:52 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,The Harbor House,NA,2,0
2020-04-13 19:10:52 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Tully House,NA,0,0
2020-04-13 19:10:52 EST,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Totals,NA,4,0
