as_of,system,location,employees,inmates,inmate deaths
2020-04-22T00:56:14Z,PRISONS AND ANCILLARY LOCATIONS,Adult Diagnostic and Treatment Center,22,4,1
2020-04-22T00:56:14Z,PRISONS AND ANCILLARY LOCATIONS,Bayside State Prison,0,1,0
2020-04-22T00:56:14Z,PRISONS AND ANCILLARY LOCATIONS,Central Office Headquarters,4,0,0
2020-04-22T00:56:14Z,PRISONS AND ANCILLARY LOCATIONS,Central Reception and Assignment Facility,27,0,0
2020-04-22T00:56:14Z,PRISONS AND ANCILLARY LOCATIONS,Correctional Staff Training Academy,5,0,0
2020-04-22T00:56:14Z,PRISONS AND ANCILLARY LOCATIONS,Custody Recruitment Unit,3,0,0
2020-04-22T00:56:14Z,PRISONS AND ANCILLARY LOCATIONS,East Jersey State Prison,50,14,5
2020-04-22T00:56:14Z,PRISONS AND ANCILLARY LOCATIONS,Edna Mahan Correctional Facility for Women,67,8,0
2020-04-22T00:56:14Z,PRISONS AND ANCILLARY LOCATIONS,Garden State Youth Correctional Facility,14,1,0
2020-04-22T00:56:14Z,PRISONS AND ANCILLARY LOCATIONS,Mid-State Correctional Facility,35,7,0
2020-04-22T00:56:14Z,PRISONS AND ANCILLARY LOCATIONS,Mountainview Youth Correctional Facility,17,0,0
2020-04-22T00:56:14Z,PRISONS AND ANCILLARY LOCATIONS,New Jersey State Prison,32,10,2
2020-04-22T00:56:14Z,PRISONS AND ANCILLARY LOCATIONS,Northern State Prison,94,23,4
2020-04-22T00:56:14Z,PRISONS AND ANCILLARY LOCATIONS,South Woods State Prison,3,3,0
2020-04-22T00:56:14Z,PRISONS AND ANCILLARY LOCATIONS,Southern State Correctional Facility,33,10,0
2020-04-22T00:56:14Z,PRISONS AND ANCILLARY LOCATIONS,STU,1,7,3
2020-04-22T00:56:14Z,PRISONS AND ANCILLARY LOCATIONS,Totals,407,88,15
2020-04-22T00:56:14Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Bo Robinson Assessment and Treatment,NA,4,0
2020-04-22T00:56:14Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Clinton House,NA,0,0
2020-04-22T00:56:14Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Columbus House,NA,0,0
2020-04-22T00:56:14Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,"CURA, Inc.",NA,0,0
2020-04-22T00:56:14Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fenwick House,NA,0,0
2020-04-22T00:56:14Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fletcher House,NA,1,0
2020-04-22T00:56:14Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Garrett House,NA,0,0
2020-04-22T00:56:14Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Hope Hall,NA,0,0
2020-04-22T00:56:14Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,James A. Hemm House,NA,0,0
2020-04-22T00:56:14Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 1,NA,0,0
2020-04-22T00:56:14Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 2,NA,0,0
2020-04-22T00:56:14Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Newark,NA,1,0
2020-04-22T00:56:14Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,The Harbor House,NA,3,0
2020-04-22T00:56:14Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Tully House,NA,0,0
2020-04-22T00:56:14Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Totals,NA,9,0
